                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0676,                 2.5112,                  1.471,                0.61095,                      1,                0.84575,                0.74607,                0.53087,                 5.9611,                 1.0237,                  8e-05,                  8e-05,                  8e-05
                      2,                0.84621,                 1.0598,                  1.258,                0.60736,                      1,                0.84557,                0.73699,                0.61696,                  3.586,                 1.0027,             0.00017822,             0.00017822,             0.00017822
                      3,                0.93034,                0.98288,                 1.2897,                0.64596,                0.81818,                 0.8058,                 0.6966,                0.59678,                 2.3169,                 1.1218,             0.00027446,             0.00027446,             0.00027446
                      4,                0.86075,                0.95474,                  1.233,                 0.5981,                0.90909,                0.87205,                 0.6522,                 1.0943,                 5.5618,                 1.5678,             0.00036871,             0.00036871,             0.00036871
                      5,                0.95994,                 1.0135,                 1.2858,                0.47482,                      1,                0.71244,                0.48175,                 1.0162,                 6.1084,                 1.4582,             0.00046099,             0.00046099,             0.00046099
                      6,                 1.0282,                 1.1369,                 1.4146,                 0.4948,                0.90909,                  0.824,                0.64734,                0.86749,                 4.3939,                 1.1778,             0.00055129,             0.00055129,             0.00055129
                      7,                 1.0703,                 1.2905,                 1.4271,                0.53177,                0.72727,                0.71224,                0.52104,                 1.3149,                 4.0458,                 1.8468,             0.00063961,             0.00063961,             0.00063961
                      8,                 1.1657,                 1.1763,                 1.4221,                0.38789,                0.72727,                0.69399,                0.44544,                 1.4586,                 9.8232,                 2.9372,             0.00072595,             0.00072595,             0.00072595
                      9,                 1.3063,                 1.5716,                 1.5758,                0.33333,                0.63636,                0.33352,                0.17161,                 1.9134,                 34.225,                 3.2847,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.3982,                 1.6965,                 1.6042,                0.17921,                0.27273,                    0.3,                0.13837,                 2.4339,                 8.6624,                 3.5074,             0.00089268,             0.00089268,             0.00089268
                     11,                 1.2372,                 1.2596,                  1.485,                0.28571,                0.36364,                0.22037,                 0.1217,                 2.2023,                 81.403,                 6.5483,             0.00097308,             0.00097308,             0.00097308
                     12,                 1.2008,                 1.2522,                 1.4534,                    0.5,                0.27273,                0.33809,                0.16392,                 2.0592,                 46.652,                 4.7219,              0.0010515,              0.0010515,              0.0010515
                     13,                 1.1625,                 1.2505,                 1.4663,                 0.1249,                0.54545,                0.23911,                0.12465,                 2.5923,                 26.939,                 3.9139,              0.0011279,              0.0011279,              0.0011279
                     14,                  1.297,                 1.3676,                 1.5154,                 0.1249,                0.54545,                0.23911,                0.12465,                 2.5923,                 26.939,                 3.9139,              0.0012024,              0.0012024,              0.0012024
